"","country_name","year","age","age_sum"
"1","Pakistan",1992,0,4720825
"2","Pakistan",1992,1,4442825
"3","Pakistan",1992,2,4272865
"4","Pakistan",1992,3,4149250
"5","Pakistan",1992,4,4044129
"6","Pakistan",1992,5,3917169
"7","Pakistan",1992,6,3757978
"8","Pakistan",1992,7,3612955
"9","Pakistan",1992,8,3463871
"10","Pakistan",1992,9,3327530
"11","Pakistan",1992,10,3199926
"12","Pakistan",1992,11,3038159
"13","Pakistan",1992,12,2966804
"14","Pakistan",1992,13,2870321
"15","Pakistan",1992,14,2758533
"16","Pakistan",1992,15,2653608
"17","Pakistan",1992,16,2560948
"18","Pakistan",1992,17,2477896
"19","Pakistan",1992,18,2404620
"20","Pakistan",1992,19,2341225
"21","Pakistan",1992,20,2287354
"22","Pakistan",1992,21,2256744
"23","Pakistan",1992,22,2225171
"24","Pakistan",1992,23,2179599
"25","Pakistan",1992,24,2111690
"26","Pakistan",1992,25,2027529
"27","Pakistan",1992,26,1941545
"28","Pakistan",1992,27,1863156
"29","Pakistan",1992,28,1790977
"30","Pakistan",1992,29,1728126
"31","Pakistan",1992,30,1673041
"32","Pakistan",1992,31,1619903
"33","Pakistan",1992,32,1566595
"34","Pakistan",1992,33,1509343
"35","Pakistan",1992,34,1446039
"36","Pakistan",1992,35,1379436
"37","Pakistan",1992,36,1313874
"38","Pakistan",1992,37,1252430
"39","Pakistan",1992,38,1191289
"40","Pakistan",1992,39,1130527
"41","Pakistan",1992,40,1072315
"42","Pakistan",1992,41,1012221
"43","Pakistan",1992,42,955486
"44","Pakistan",1992,43,910847
"45","Pakistan",1992,44,881664
"46","Pakistan",1992,45,864694
"47","Pakistan",1992,46,851587
"48","Pakistan",1992,47,837452
"49","Pakistan",1992,48,822974
"50","Pakistan",1992,49,805962
"51","Pakistan",1992,50,787279
"52","Pakistan",1992,51,768817
"53","Pakistan",1992,52,751038
"54","Pakistan",1992,53,731505
"55","Pakistan",1992,54,709443
"56","Pakistan",1992,55,685720
"57","Pakistan",1992,56,661201
"58","Pakistan",1992,57,636599
"59","Pakistan",1992,58,611282
"60","Pakistan",1992,59,585226
"61","Pakistan",1992,60,558952
"62","Pakistan",1992,61,531854
"63","Pakistan",1992,62,505272
"64","Pakistan",1992,63,481262
"65","Pakistan",1992,64,460650
"66","Pakistan",1992,65,442513
"67","Pakistan",1992,66,424476
"68","Pakistan",1992,67,405586
"69","Pakistan",1992,68,386661
"70","Pakistan",1992,69,367413
"71","Pakistan",1992,70,347720
"72","Pakistan",1992,71,327667
"73","Pakistan",1992,72,306821
"74","Pakistan",1992,73,284240
"75","Pakistan",1992,74,259750
"76","Pakistan",1992,75,234139
"77","Pakistan",1992,76,208989
"78","Pakistan",1992,77,184589
"79","Pakistan",1992,78,160123
"80","Pakistan",1992,79,135847
"81","Pakistan",1992,80,112962
"82","Pakistan",1992,81,92289
"83","Pakistan",1992,82,74203
"84","Pakistan",1992,83,58955
"85","Pakistan",1992,84,46456
"86","Pakistan",1992,85,36499
"87","Pakistan",1992,86,29436
"88","Pakistan",1992,87,22458
"89","Pakistan",1992,88,16762
"90","Pakistan",1992,89,12234
"91","Pakistan",1992,90,8711
"92","Pakistan",1992,91,6052
"93","Pakistan",1992,92,4096
"94","Pakistan",1992,93,2702
"95","Pakistan",1992,94,1734
"96","Pakistan",1992,95,1078
"97","Pakistan",1992,96,650
"98","Pakistan",1992,97,383
"99","Pakistan",1992,98,215
"100","Pakistan",1992,99,121
"101","Pakistan",1992,100,130
"102","Pakistan",1993,0,4751855
"103","Pakistan",1993,1,4461337
"104","Pakistan",1993,2,4313563
"105","Pakistan",1993,3,4195348
"106","Pakistan",1993,4,4093697
"107","Pakistan",1993,5,3999518
"108","Pakistan",1993,6,3877245
"109","Pakistan",1993,7,3722185
"110","Pakistan",1993,8,3577790
"111","Pakistan",1993,9,3432998
"112","Pakistan",1993,10,3298693
"113","Pakistan",1993,11,3173115
"114","Pakistan",1993,12,3010202
"115","Pakistan",1993,13,2939356
"116","Pakistan",1993,14,2843539
"117","Pakistan",1993,15,2731725
"118","Pakistan",1993,16,2626576
"119","Pakistan",1993,17,2534066
"120","Pakistan",1993,18,2451278
"121","Pakistan",1993,19,2378470
"122","Pakistan",1993,20,2313259
"123","Pakistan",1993,21,2257729
"124","Pakistan",1993,22,2227496
"125","Pakistan",1993,23,2196354
"126","Pakistan",1993,24,2151328
"127","Pakistan",1993,25,2083584
"128","Pakistan",1993,26,1999706
"129","Pakistan",1993,27,1914478
"130","Pakistan",1993,28,1836764
"131","Pakistan",1993,29,1765171
"132","Pakistan",1993,30,1704453
"133","Pakistan",1993,31,1651315
"134","Pakistan",1993,32,1598595
"135","Pakistan",1993,33,1545693
"136","Pakistan",1993,34,1488857
"137","Pakistan",1993,35,1426812
"138","Pakistan",1993,36,1361414
"139","Pakistan",1993,37,1296267
"140","Pakistan",1993,38,1235206
"141","Pakistan",1993,39,1174431
"142","Pakistan",1993,40,1114716
"143","Pakistan",1993,41,1057484
"144","Pakistan",1993,42,997739
"145","Pakistan",1993,43,941352
"146","Pakistan",1993,44,897007
"147","Pakistan",1993,45,868470
"148","Pakistan",1993,46,852029
"149","Pakistan",1993,47,838992
"150","Pakistan",1993,48,824896
"151","Pakistan",1993,49,810409
"152","Pakistan",1993,50,793635
"153","Pakistan",1993,51,775148
"154","Pakistan",1993,52,756622
"155","Pakistan",1993,53,738748
"156","Pakistan",1993,54,719113
"157","Pakistan",1993,55,697151
"158","Pakistan",1993,56,673501
"159","Pakistan",1993,57,648838
"160","Pakistan",1993,58,624050
"161","Pakistan",1993,59,598509
"162","Pakistan",1993,60,572271
"163","Pakistan",1993,61,545790
"164","Pakistan",1993,62,518431
"165","Pakistan",1993,63,491590
"166","Pakistan",1993,64,467275
"167","Pakistan",1993,65,446333
"168","Pakistan",1993,66,427763
"169","Pakistan",1993,67,409188
"170","Pakistan",1993,68,389721
"171","Pakistan",1993,69,370160
"172","Pakistan",1993,70,350350
"173","Pakistan",1993,71,330087
"174","Pakistan",1993,72,309403
"175","Pakistan",1993,73,288003
"176","Pakistan",1993,74,265052
"177","Pakistan",1993,75,240464
"178","Pakistan",1993,76,214999
"179","Pakistan",1993,77,190148
"180","Pakistan",1993,78,166208
"181","Pakistan",1993,79,142487
"182","Pakistan",1993,80,119618
"183","Pakistan",1993,81,98397
"184","Pakistan",1993,82,79289
"185","Pakistan",1993,83,62799
"186","Pakistan",1993,84,49098
"187","Pakistan",1993,85,38058
"188","Pakistan",1993,86,29460
"189","Pakistan",1993,87,23316
"190","Pakistan",1993,88,17421
"191","Pakistan",1993,89,12720
"192","Pakistan",1993,90,9071
"193","Pakistan",1993,91,6304
"194","Pakistan",1993,92,4267
"195","Pakistan",1993,93,2815
"196","Pakistan",1993,94,1805
"197","Pakistan",1993,95,1128
"198","Pakistan",1993,96,679
"199","Pakistan",1993,97,399
"200","Pakistan",1993,98,228
"201","Pakistan",1993,99,123
"202","Pakistan",1993,100,137
"203","Pakistan",1994,0,4763402
"204","Pakistan",1994,1,4515643
"205","Pakistan",1994,2,4358588
"206","Pakistan",1994,3,4256363
"207","Pakistan",1994,4,4158638
"208","Pakistan",1994,5,4066585
"209","Pakistan",1994,6,3977088
"210","Pakistan",1994,7,3857296
"211","Pakistan",1994,8,3704365
"212","Pakistan",1994,9,3560623
"213","Pakistan",1994,10,3418124
"214","Pakistan",1994,11,3285210
"215","Pakistan",1994,12,3160144
"216","Pakistan",1994,13,2996828
"217","Pakistan",1994,14,2926031
"218","Pakistan",1994,15,2829979
"219","Pakistan",1994,16,2717643
"220","Pakistan",1994,17,2612402
"221","Pakistan",1994,18,2519853
"222","Pakistan",1994,19,2437133
"223","Pakistan",1994,20,2362988
"224","Pakistan",1994,21,2295496
"225","Pakistan",1994,22,2240102
"226","Pakistan",1994,23,2209959
"227","Pakistan",1994,24,2178965
"228","Pakistan",1994,25,2133847
"229","Pakistan",1994,26,2065893
"230","Pakistan",1994,27,1982374
"231","Pakistan",1994,28,1897475
"232","Pakistan",1994,29,1820028
"233","Pakistan",1994,30,1749659
"234","Pakistan",1994,31,1690761
"235","Pakistan",1994,32,1637775
"236","Pakistan",1994,33,1585210
"237","Pakistan",1994,34,1532468
"238","Pakistan",1994,35,1476311
"239","Pakistan",1994,36,1415283
"240","Pakistan",1994,37,1350075
"241","Pakistan",1994,38,1285100
"242","Pakistan",1994,39,1224181
"243","Pakistan",1994,40,1163964
"244","Pakistan",1994,41,1105073
"245","Pakistan",1994,42,1047969
"246","Pakistan",1994,43,988386
"247","Pakistan",1994,44,932161
"248","Pakistan",1994,45,888191
"249","Pakistan",1994,46,860109
"250","Pakistan",1994,47,843592
"251","Pakistan",1994,48,830425
"252","Pakistan",1994,49,816165
"253","Pakistan",1994,50,801634
"254","Pakistan",1994,51,784907
"255","Pakistan",1994,52,766204
"256","Pakistan",1994,53,747440
"257","Pakistan",1994,54,729311
"258","Pakistan",1994,55,709537
"259","Pakistan",1994,56,687513
"260","Pakistan",1994,57,663577
"261","Pakistan",1994,58,638598
"262","Pakistan",1994,59,613448
"263","Pakistan",1994,60,587557
"264","Pakistan",1994,61,560984
"265","Pakistan",1994,62,534098
"266","Pakistan",1994,63,506362
"267","Pakistan",1994,64,479152
"268","Pakistan",1994,65,454455
"269","Pakistan",1994,66,433051
"270","Pakistan",1994,67,413853
"271","Pakistan",1994,68,394585
"272","Pakistan",1994,69,374395
"273","Pakistan",1994,70,354138
"274","Pakistan",1994,71,333662
"275","Pakistan",1994,72,312674
"276","Pakistan",1994,73,291322
"277","Pakistan",1994,74,269370
"278","Pakistan",1994,75,246089
"279","Pakistan",1994,76,221445
"280","Pakistan",1994,77,196164
"281","Pakistan",1994,78,171680
"282","Pakistan",1994,79,148296
"283","Pakistan",1994,80,125815
"284","Pakistan",1994,81,104525
"285","Pakistan",1994,82,84811
"286","Pakistan",1994,83,67333
"287","Pakistan",1994,84,52477
"288","Pakistan",1994,85,40363
"289","Pakistan",1994,86,30750
"290","Pakistan",1994,87,23335
"291","Pakistan",1994,88,18101
"292","Pakistan",1994,89,13232
"293","Pakistan",1994,90,9437
"294","Pakistan",1994,91,6570
"295","Pakistan",1994,92,4450
"296","Pakistan",1994,93,2934
"297","Pakistan",1994,94,1882
"298","Pakistan",1994,95,1175
"299","Pakistan",1994,96,712
"300","Pakistan",1994,97,417
"301","Pakistan",1994,98,237
"302","Pakistan",1994,99,132
"303","Pakistan",1994,100,141
"304","Pakistan",1995,0,4803395
"305","Pakistan",1995,1,4543325
"306","Pakistan",1995,2,4419963
