"","country_code","country_name","year","crude_birth_rate","crude_death_rate","net_migration","rate_natural_increase","growth_rate"
"1","IN","India",1991,29.24,10.1,-0.09,1.914,1.904
"2","IN","India",1992,29.03,9.96,-0.09,1.907,1.899
"3","IN","India",1993,28.79,9.83,-0.08,1.896,1.888
"4","IN","India",1994,28.52,9.7,-0.08,1.882,1.874
"5","IN","India",1995,28.21,9.58,-0.08,1.863,1.856
"6","IN","India",1996,27.87,9.46,-0.07,1.841,1.834
"7","IN","India",1997,27.42,9.34,-0.07,1.808,1.801
"8","IN","India",1998,26.96,9.23,-0.07,1.773,1.766
"9","IN","India",1999,26.47,9.12,-0.06,1.735,1.729
"10","IN","India",2000,25.96,9.01,-0.06,1.695,1.689
"11","IN","India",2001,25.43,8.77,-0.05,1.666,1.661
"12","IN","India",2002,24.93,8.55,-0.05,1.638,1.633
"13","IN","India",2003,24.42,8.34,-0.05,1.608,1.603
"14","IN","India",2004,23.91,8.15,-0.05,1.576,1.571
"15","IN","India",2005,23.38,7.97,-0.05,1.541,1.536
"16","IN","India",2006,22.84,7.86,-0.05,1.498,1.494
"17","IN","India",2007,22.47,7.76,-0.05,1.471,1.466
"18","IN","India",2008,22.09,7.68,-0.05,1.441,1.437
"19","IN","India",2009,21.72,7.6,-0.05,1.412,1.407
"20","IN","India",2010,21.34,7.53,-0.05,1.381,1.376
"21","IN","India",2011,20.97,7.48,-0.05,1.349,1.344
"22","IN","India",2012,20.6,7.43,-0.05,1.317,1.312
"23","IN","India",2013,20.24,7.39,-0.05,1.285,1.281
"24","IN","India",2014,19.89,7.35,-0.05,1.254,1.25
"25","IN","India",2015,19.55,7.32,-0.04,1.223,1.218
"26","IN","India",2016,19.28,7.3,-0.04,1.198,1.194
"27","IN","India",2017,19.01,7.28,-0.04,1.173,1.169
"28","IN","India",2018,18.73,7.26,-0.04,1.147,1.142
"29","IN","India",2019,18.46,7.26,-0.04,1.12,1.116
"30","IN","India",2020,18.18,7.25,-0.04,1.093,1.088
"31","IN","India",2021,17.95,7.25,-0.04,1.07,1.065
"32","IN","India",2022,17.71,7.26,-0.04,1.045,1.041
"33","IN","India",2023,17.48,7.27,-0.04,1.021,1.017
