"","country_code","country_name","year","life_expectancy","life_expectancy_male","life_expectancy_female"
"1","AF","Afghanistan",1979,38.77,38.5,39.05
"2","AF","Afghanistan",1980,38.81,38.51,39.12
"3","AF","Afghanistan",1981,38.85,38.52,39.19
"4","AF","Afghanistan",1982,38.88,38.52,39.25
"5","AF","Afghanistan",1983,38.9,38.52,39.31
"6","AF","Afghanistan",1984,39.34,38.92,39.78
"7","AF","Afghanistan",1985,39.78,39.32,40.26
"8","AF","Afghanistan",1986,40.21,39.72,40.73
"9","AF","Afghanistan",1987,40.65,40.12,41.2
"10","AF","Afghanistan",1988,41.16,40.6,41.76
"11","AF","Afghanistan",1989,41.68,41.08,42.31
"12","AF","Afghanistan",1990,42.19,41.55,42.85
"13","AF","Afghanistan",1991,42.69,42.02,43.4
"14","AF","Afghanistan",1992,42.99,42.29,43.73
"15","AF","Afghanistan",1993,43.29,42.56,44.06
"16","AF","Afghanistan",1994,43.59,42.82,44.39
"17","AF","Afghanistan",1995,43.88,43.09,44.71
"18","AF","Afghanistan",1996,44.17,43.35,45.04
"19","AF","Afghanistan",1997,44.51,43.65,45.4
"20","AF","Afghanistan",1998,44.83,43.95,45.76
"21","AF","Afghanistan",1999,45.16,44.25,46.12
"22","AF","Afghanistan",2000,45.49,44.55,46.48
"23","AF","Afghanistan",2001,45.81,44.85,46.83
"24","AF","Afghanistan",2002,46.1,45.11,47.15
"25","AF","Afghanistan",2003,46.39,45.37,47.46
"26","AF","Afghanistan",2004,46.68,45.63,47.78
"27","AF","Afghanistan",2005,47.06,45.98,48.19
"28","AF","Afghanistan",2006,47.44,46.34,48.6
"29","AF","Afghanistan",2007,47.82,46.69,49
"30","AF","Afghanistan",2008,48.19,47.03,49.41
"31","AF","Afghanistan",2009,48.56,47.38,49.81
"32","AF","Afghanistan",2010,48.93,47.72,50.2
"33","AF","Afghanistan",2011,49.33,48.09,50.63
"34","AF","Afghanistan",2012,49.72,48.45,51.05
"35","AF","Afghanistan",2013,50.11,48.81,51.47
"36","AF","Afghanistan",2014,50.49,49.17,51.88
"37","AF","Afghanistan",2015,50.87,49.52,52.29
"38","AF","Afghanistan",2016,51.28,49.9,52.72
"39","AF","Afghanistan",2017,51.67,50.27,53.15
"40","AF","Afghanistan",2018,52.07,50.63,53.58
"41","AF","Afghanistan",2019,52.46,50.99,54
"42","AF","Afghanistan",2020,52.84,51.35,54.41
"43","AF","Afghanistan",2021,53.25,51.73,54.85
"44","AF","Afghanistan",2022,53.65,52.1,55.28
"45","AF","Afghanistan",2023,54.05,52.47,55.71
"46","BG","Bangladesh",1981,50.71,51.57,49.82
"47","BG","Bangladesh",1982,50.99,51.83,50.12
"48","BG","Bangladesh",1983,51.17,51.99,50.32
"49","BG","Bangladesh",1984,51.27,52.07,50.43
"50","BG","Bangladesh",1985,51.28,52.07,50.45
"51","BG","Bangladesh",1986,52.35,52.94,51.73
"52","BG","Bangladesh",1987,53.39,53.78,52.98
"53","BG","Bangladesh",1988,54.4,54.6,54.18
"54","BG","Bangladesh",1989,55.38,55.41,55.36
"55","BG","Bangladesh",1990,56.34,56.19,56.49
"56","BG","Bangladesh",1991,54.21,54.07,54.35
"57","BG","Bangladesh",1992,58.57,58.07,59.09
"58","BG","Bangladesh",1993,59.83,59.16,60.53
"59","BG","Bangladesh",1994,61.03,60.19,61.89
"60","BG","Bangladesh",1995,62.18,61.19,63.2
"61","BG","Bangladesh",1996,63.28,62.15,64.44
"62","BG","Bangladesh",1997,64.33,63.08,65.64
"63","BG","Bangladesh",1998,65.34,63.96,66.78
"64","BG","Bangladesh",1999,66.31,64.82,67.87
"65","BG","Bangladesh",2000,67.25,65.64,68.92
"66","BG","Bangladesh",2001,67.72,66.07,69.43
"67","BG","Bangladesh",2002,68.18,66.49,69.94
"68","BG","Bangladesh",2003,68.63,66.9,70.42
"69","BG","Bangladesh",2004,69.06,67.3,70.9
"70","BG","Bangladesh",2005,69.48,67.68,71.36
"71","BG","Bangladesh",2006,69.9,68.06,71.8
"72","BG","Bangladesh",2007,70.3,68.43,72.24
"73","BG","Bangladesh",2008,70.69,68.79,72.67
"74","BG","Bangladesh",2009,71.07,69.14,73.08
"75","BG","Bangladesh",2010,71.44,69.48,73.48
"76","BG","Bangladesh",2011,71.81,69.81,73.88
"77","BG","Bangladesh",2012,72.09,70.07,74.19
"78","BG","Bangladesh",2013,72.36,70.32,74.49
"79","BG","Bangladesh",2014,72.63,70.56,74.79
"80","BG","Bangladesh",2015,72.9,70.8,75.08
"81","BG","Bangladesh",2016,73.16,71.04,75.36
"82","BG","Bangladesh",2017,73.42,71.28,75.64
"83","BG","Bangladesh",2018,73.67,71.51,75.92
"84","BG","Bangladesh",2019,73.92,71.74,76.19
"85","BG","Bangladesh",2020,74.16,71.96,76.45
"86","BG","Bangladesh",2021,74.4,72.18,76.71
"87","BG","Bangladesh",2022,74.64,72.4,76.97
"88","BG","Bangladesh",2023,74.87,72.61,77.22
"89","BT","Bhutan",1950,43.76,43.19,44.36
"90","BT","Bhutan",1951,43.76,43.19,44.36
"91","BT","Bhutan",1952,43.76,43.19,44.36
"92","BT","Bhutan",1953,43.76,43.19,44.36
